Location,TimeFrame,DataFormat,Data
Maine,2011-2012,Percent,0.22
Maine,2011-2012,Number,53000
Maryland,2011-2012,Number,204000
Maryland,2011-2012,Percent,0.17
Maryland,2007,Number,221000
Maryland,2007,Percent,0.18
Massachusetts,2007,Percent,0.18
Massachusetts,2007,Number,232000
Massachusetts,2011-2012,Percent,0.19
Massachusetts,2011-2012,Number,244000
Michigan,2011-2012,Number,410000
Michigan,2011-2012,Percent,0.2
Michigan,2007,Number,363000
Michigan,2007,Percent,0.17
Minnesota,2007,Percent,0.14
Minnesota,2007,Number,156000
Minnesota,2011-2012,Percent,0.18
Minnesota,2011-2012,Number,207000
Mississippi,2011-2012,Number,131000
Mississippi,2011-2012,Percent,0.2
Mississippi,2007,Number,103000
Mississippi,2007,Percent,0.15
Missouri,2007,Percent,0.16
Missouri,2007,Number,204000
Missouri,2011-2012,Percent,0.16
Missouri,2011-2012,Number,197000
Montana,2011-2012,Number,35000
Montana,2011-2012,Percent,0.18
Montana,2007,Number,34000
Montana,2007,Percent,0.17
Nebraska,2007,Percent,0.15
Nebraska,2007,Number,62000
Nebraska,2011-2012,Percent,0.17
Nebraska,2011-2012,Number,69000
Nevada,2011-2012,Number,78000
Nevada,2011-2012,Percent,0.13
Nevada,2007,Number,74000
Nevada,2007,Percent,0.13
New Hampshire,2007,Percent,0.17
New Hampshire,2007,Number,46000
New Hampshire,2011-2012,Percent,0.21
New Hampshire,2011-2012,Number,52000
New Jersey,2011-2012,Number,277000
New Jersey,2011-2012,Percent,0.15
New Jersey,2007,Number,264000
New Jersey,2007,Percent,0.14
New Mexico,2007,Percent,0.14
New Mexico,2007,Number,59000
New Mexico,2011-2012,Percent,0.16
New Mexico,2011-2012,Number,72000
New York,2011-2012,Number,651000
New York,2011-2012,Percent,0.17
New York,2007,Number,556000
New York,2007,Percent,0.14
North Carolina,2007,Percent,0.2
North Carolina,2007,Number,392000
North Carolina,2011-2012,Percent,0.19
North Carolina,2011-2012,Number,389000
North Dakota,2011-2012,Number,23000
North Dakota,2011-2012,Percent,0.18
North Dakota,2007,Number,19000
North Dakota,2007,Percent,0.16
Ohio,2007,Percent,0.2
Ohio,2007,Number,476000
Ohio,2011-2012,Percent,0.2
Ohio,2011-2012,Number,491000
Oklahoma,2011-2012,Percent,0.19
Oklahoma,2011-2012,Number,153000
Oklahoma,2007,Number,143000
Oklahoma,2007,Percent,0.18
Oregon,2007,Percent,0.16
Oregon,2007,Number,121000
Oregon,2011-2012,Number,145000
Oregon,2011-2012,Percent,0.19
Pennsylvania,2011-2012,Percent,0.19
Pennsylvania,2011-2012,Number,468000
Pennsylvania,2007,Number,407000
Pennsylvania,2007,Percent,0.17
Rhode Island,2007,Percent,0.19
Rhode Island,2007,Number,40000
Rhode Island,2011-2012,Number,43000
Rhode Island,2011-2012,Percent,0.22
South Carolina,2011-2012,Percent,0.19
South Carolina,2011-2012,Number,186000
South Carolina,2007,Number,142000
South Carolina,2007,Percent,0.15
South Dakota,2007,Percent,0.13
South Dakota,2007,Number,23000
South Dakota,2011-2012,Number,24000
South Dakota,2011-2012,Percent,0.13
Tennessee,2011-2012,Percent,0.21
Tennessee,2011-2012,Number,280000
Tennessee,2007,Number,207000
Tennessee,2007,Percent,0.16
Texas,2007,Percent,0.12
Texas,2007,Number,691000
Texas,2011-2012,Number,917000
Texas,2011-2012,Percent,0.15
Utah,2011-2012,Percent,0.14
Utah,2011-2012,Number,105000
Utah,2007,Number,96000
Utah,2007,Percent,0.14
Vermont,2007,Percent,0.2
Vermont,2007,Number,23000
Vermont,2011-2012,Number,23000
Vermont,2011-2012,Percent,0.2
Virginia,2011-2012,Percent,0.17
Virginia,2011-2012,Number,279000
Virginia,2007,Number,259000
Virginia,2007,Percent,0.16
Washington,2007,Percent,0.17
Washington,2007,Number,226000
Washington,2011-2012,Number,242000
Washington,2011-2012,Percent,0.17
West Virginia,2011-2012,Percent,0.2
West Virginia,2011-2012,Number,67000
West Virginia,2007,Number,64000
West Virginia,2007,Percent,0.18
Wisconsin,2007,Percent,0.15
Wisconsin,2007,Number,178000
Wisconsin,2011-2012,Number,223000
Wisconsin,2011-2012,Percent,0.19
Wyoming,2011-2012,Number,22000
Wyoming,2011-2012,Percent,0.18
Wyoming,2007,Number,19000
Wyoming,2007,Percent,0.17
