state,year,reports
Wisconsin,2001,1
Wisconsin,2002,4
Wisconsin,2003,2
Wisconsin,2004,3
Wisconsin,2006,1
Wisconsin,2007,5
Wisconsin,2008,2
Wisconsin,2009,2
Wisconsin,2012,1
Wisconsin,2014,1
Wisconsin,2016,1
Alabama,2001,0
Alabama,2004,0
Alabama,2007,0
Alabama,2012,0
Alabama,2013,0
Alabama,2014,0
Alabama,2003,0
Alabama,2008,0
Alabama,2010,0
Alabama,2011,0
Alabama,1999,0
Alaska,2000,0
Alaska,2002,0
Alaska,2005,0
Alaska,2006,0
Alaska,2009,0
Alaska,2015,0
Alaska,2016,0
Alaska,2007,0
Alaska,2012,0
Alaska,2013,0
Alaska,2014,0
Alaska,2003,0
Alaska,2008,0
Alaska,2010,0
Alaska,2011,0
Alaska,1999,0
Arizona,2005,0
Arizona,2006,0
Arizona,2016,0
Arizona,2004,0
Arizona,2003,0
Arizona,2008,0
Arizona,2010,0
Arizona,2011,0
Arizona,1999,0
Arkansas,2006,0
Arkansas,2009,0
Arkansas,2015,0
Arkansas,2007,0
Arkansas,2012,0
Arkansas,2013,0
Arkansas,2010,0
Arkansas,2011,0
Arkansas,1999,0
California,2014,0
California,1999,0
Colorado,2000,0
Colorado,2005,0
Colorado,2009,0
Colorado,2016,0
Colorado,2001,0
Colorado,2007,0
Colorado,2012,0
Colorado,2014,0
Colorado,2003,0
Colorado,2010,0
Colorado,2011,0
Colorado,1999,0
Connecticut,2006,0
Connecticut,2009,0
Connecticut,2015,0
Connecticut,2016,0
Connecticut,2001,0
Connecticut,2004,0
Connecticut,2007,0
Connecticut,2012,0
Connecticut,2013,0
Connecticut,2008,0
Connecticut,2010,0
Connecticut,2011,0
Connecticut,1999,0
Delaware,2000,0
Delaware,2002,0
Delaware,2005,0
Delaware,2006,0
Delaware,2015,0
Delaware,2016,0
Delaware,2004,0
Delaware,2012,0
Delaware,2013,0
Delaware,2008,0
Delaware,2011,0
Delaware,1999,0
District of Columbia,2000,0
District of Columbia,2002,0
District of Columbia,2005,0
District of Columbia,2009,0
District of Columbia,2015,0
District of Columbia,2016,0
District of Columbia,2001,0
District of Columbia,2004,0
District of Columbia,2007,0
District of Columbia,2012,0
District of Columbia,2013,0
District of Columbia,2014,0
District of Columbia,2003,0
District of Columbia,2008,0
District of Columbia,2010,0
District of Columbia,2011,0
District of Columbia,1999,0
Florida,2016,0
Florida,2013,0
Florida,1999,0
Georgia,2000,0
Georgia,2006,0
Georgia,2016,0
Georgia,2012,0
Georgia,2013,0
Georgia,2010,0
Georgia,2011,0
Georgia,1999,0
Hawaii,2000,0
Hawaii,2002,0
Hawaii,2005,0
Hawaii,2006,0
Hawaii,2015,0
Hawaii,2016,0
Hawaii,2001,0
Hawaii,2004,0
Hawaii,2012,0
Hawaii,2013,0
Hawaii,2014,0
Hawaii,2003,0
Hawaii,2010,0
Hawaii,2011,0
Hawaii,1999,0
Idaho,2000,0
Idaho,2002,0
Idaho,2005,0
Idaho,2006,0
Idaho,2009,0
Idaho,2015,0
Idaho,2016,0
Idaho,2001,0
Idaho,2007,0
Idaho,2012,0
Idaho,2013,0
Idaho,2014,0
Idaho,2003,0
Idaho,2010,0
Idaho,1999,0
Illinois,2016,0
Illinois,2011,0
Illinois,1999,0
Indiana,2004,0
Indiana,2012,0
Indiana,2010,0
Indiana,2011,0
Iowa,2000,0
Iowa,2002,0
Iowa,2005,0
Iowa,2006,0
Iowa,2015,0
Iowa,2016,0
Iowa,2004,0
Iowa,2007,0
Iowa,2013,0
Iowa,2014,0
Iowa,2003,0
Iowa,2008,0
Iowa,2010,0
Iowa,1999,0
Kansas,2006,0
Kansas,2009,0
Kansas,2015,0
Kansas,2016,0
Kansas,2001,0
Kansas,2004,0
Kansas,2007,0
Kansas,2012,0
Kansas,2013,0
Kansas,2014,0
Kansas,2008,0
Kansas,2010,0
Kansas,1999,0
Kentucky,2006,0
Kentucky,2015,0
Kentucky,2016,0
Kentucky,2001,0
Kentucky,2004,0
Kentucky,2007,0
Kentucky,2012,0
Kentucky,2013,0
Kentucky,2008,0
Kentucky,2010,0
Kentucky,1999,0
Louisiana,2005,0
Louisiana,2016,0
Louisiana,2007,0
Louisiana,2013,0
Louisiana,2010,0
Louisiana,2011,0
Louisiana,1999,0
Maine,2002,0
Maine,2005,0
Maine,2009,0
Maine,2015,0
Maine,2016,0
Maine,2001,0
Maine,2012,0
Maine,2008,0
Maine,2010,0
Maine,2011,0
Maine,1999,0
Maryland,2015,0
Maryland,2016,0
Maryland,2013,0
Maryland,2003,0
Maryland,2010,0
Maryland,2011,0
Maryland,1999,0
Massachusetts,2015,0
Massachusetts,2001,0
Massachusetts,2012,0
Massachusetts,2014,0
Massachusetts,2010,0
Massachusetts,2011,0
Massachusetts,1999,0
Michigan,2006,0
Michigan,2015,0
Michigan,2013,0
Michigan,2014,0
Michigan,2010,0
Michigan,1999,0
Minnesota,2009,0
Minnesota,2015,0
Minnesota,2016,0
Minnesota,2004,0
Minnesota,2012,0
Minnesota,2013,0
Minnesota,2003,0
Minnesota,2010,0
Minnesota,2011,0
Minnesota,1999,0
Mississippi,2000,0
Mississippi,2006,0
Mississippi,2009,0
Mississippi,2015,0
Mississippi,2016,0
Mississippi,2007,0
Mississippi,2012,0
Mississippi,2014,0
Mississippi,2010,0
Mississippi,2011,0
Mississippi,1999,0
Missouri,2006,0
Missouri,2009,0
Missouri,2015,0
Missouri,2007,0
Missouri,2012,0
Missouri,2013,0
Missouri,2014,0
Missouri,1999,0
Montana,2002,0
Montana,2005,0
Montana,2006,0
Montana,2009,0
Montana,2015,0
Montana,2016,0
Montana,2001,0
Montana,2004,0
Montana,2007,0
Montana,2012,0
Montana,2013,0
Montana,2014,0
Montana,2003,0
Montana,2011,0
Montana,1999,0
Nebraska,2000,0
Nebraska,2002,0
Nebraska,2005,0
Nebraska,2006,0
Nebraska,2009,0
Nebraska,2016,0
Nebraska,2004,0
Nebraska,2012,0
Nebraska,2013,0
Nebraska,2014,0
Nebraska,2008,0
Nebraska,2010,0
Nebraska,2011,0
Nebraska,1999,0
Nevada,2002,0
Nevada,2006,0
Nevada,2016,0
Nevada,2001,0
Nevada,2007,0
Nevada,2012,0
Nevada,2010,0
Nevada,2011,0
Nevada,1999,0
New Hampshire,2002,0
New Hampshire,2006,0
New Hampshire,2015,0
New Hampshire,2016,0
New Hampshire,2004,0
New Hampshire,2007,0
New Hampshire,2013,0
New Hampshire,2014,0
New Hampshire,2011,0
New Hampshire,1999,0
New Jersey,2016,0
New Jersey,2014,0
New Jersey,2010,0
New Jersey,2011,0
New Jersey,1999,0
New Mexico,2000,0
New Mexico,2005,0
New Mexico,2006,0
New Mexico,2009,0
New Mexico,2015,0
New Mexico,2016,0
New Mexico,2001,0
New Mexico,2004,0
New Mexico,2007,0
New Mexico,2012,0
New Mexico,2013,0
New Mexico,2014,0
New Mexico,2008,0
New Mexico,2010,0
New Mexico,2011,0
New Mexico,1999,0
New York,2013,0
New York,2010,0
New York,1999,0
North Carolina,2000,0
North Carolina,2001,0
North Carolina,2003,0
North Carolina,2010,0
North Carolina,2011,0
North Carolina,1999,0
Ohio,2006,0
Ohio,2016,0
Ohio,2012,0
Ohio,2013,0
Ohio,2010,0
Ohio,2011,0
Ohio,1999,0
Oklahoma,2000,0
Oklahoma,2005,0
Oklahoma,2006,0
Oklahoma,2015,0
Oklahoma,2016,0
Oklahoma,2001,0
Oklahoma,2004,0
Oklahoma,2007,0
Oklahoma,2013,0
Oklahoma,2014,0
Oklahoma,2010,0
Oklahoma,2011,0
Oklahoma,1999,0
Oregon,2000,0
Oregon,2009,0
Oregon,2015,0
Oregon,2016,0
Oregon,2007,0
Oregon,2012,0
Oregon,2013,0
Oregon,2014,0
Oregon,1999,0
Pennsylvania,1999,0
Puerto Rico,2000,0
Puerto Rico,2002,0
Puerto Rico,2005,0
Puerto Rico,2006,0
Puerto Rico,2009,0
Puerto Rico,2016,0
Puerto Rico,2001,0
Puerto Rico,2004,0
Puerto Rico,2007,0
Puerto Rico,2012,0
Puerto Rico,2013,0
Puerto Rico,2014,0
Puerto Rico,2003,0
Puerto Rico,2008,0
Puerto Rico,2010,0
Puerto Rico,2011,0
Puerto Rico,1999,0
Rhode Island,2000,0
Rhode Island,2002,0
Rhode Island,2005,0
Rhode Island,2006,0
Rhode Island,2009,0
Rhode Island,2015,0
Rhode Island,2016,0
Rhode Island,2001,0
Rhode Island,2004,0
Rhode Island,2007,0
Rhode Island,2012,0
Rhode Island,2013,0
Rhode Island,2014,0
Rhode Island,2008,0
Rhode Island,2010,0
Rhode Island,2011,0
South Carolina,2000,0
South Carolina,2006,0
South Carolina,2009,0
South Carolina,2015,0
South Carolina,2016,0
South Carolina,2007,0
South Carolina,2012,0
South Carolina,2013,0
South Carolina,2014,0
South Carolina,2008,0
South Carolina,2010,0
South Carolina,2011,0
South Carolina,1999,0
South Dakota,2000,0
South Dakota,2002,0
South Dakota,2005,0
South Dakota,2006,0
South Dakota,2009,0
South Dakota,2015,0
South Dakota,2016,0
South Dakota,2001,0
South Dakota,2004,0
South Dakota,2007,0
South Dakota,2012,0
South Dakota,2013,0
South Dakota,2014,0
South Dakota,2003,0
South Dakota,2008,0
South Dakota,2011,0
South Dakota,1999,0
Tennessee,2015,0
Tennessee,2016,0
Tennessee,2007,0
Tennessee,2014,0
Tennessee,2003,0
Tennessee,2011,0
Tennessee,1999,0
Texas,2013,0
Texas,2010,0
Texas,2011,0
Texas,1999,0
Utah,2002,0
Utah,2005,0
Utah,2006,0
Utah,2015,0
Utah,2016,0
Utah,2007,0
Utah,2012,0
Utah,2013,0
Utah,2014,0
Utah,2003,0
Utah,2008,0
Utah,2010,0
Utah,1999,0
Virginia,2016,0
Virginia,2007,0
Virginia,2013,0
Virginia,2014,0
Virginia,2010,0
Virginia,1999,0
Washington,2002,0
Washington,2016,0
Washington,2001,0
Washington,2014,0
Washington,1999,0
West Virginia,2000,0
West Virginia,2005,0
West Virginia,2009,0
West Virginia,2015,0
West Virginia,2016,0
West Virginia,2001,0
West Virginia,2004,0
West Virginia,2007,0
West Virginia,2013,0
West Virginia,2014,0
West Virginia,2003,0
West Virginia,2010,0
West Virginia,2011,0
West Virginia,1999,0
Wisconsin,2005,0
Wisconsin,2015,0
Wisconsin,2013,0
Wisconsin,2010,0
Wisconsin,2011,0
Wisconsin,1999,0
